date,mean_compound_reuters,mean_compound_guardian,mean_compound_cnbc,mean_compound_other,mean_compound_twitter,Adj Close
2015/12/02,0.0,0.0,0.0,-0.0213124999999999,0.1038541666666666,33.800498962402344
2015/12/03,0.0,0.0,0.0,0.2243666666666667,0.0748633971291866,33.3125
2015/12/04,0.0,0.0,0.0,0.0,0.1146058608058608,33.63199996948242
2015/12/07,0.0,0.0,0.0,0.0,0.0985990654205607,33.49150085449219
2015/12/08,0.0,0.0,0.0,0.1779,0.1455511450381679,33.86650085449219
2015/12/09,0.0,0.0,0.0,0.0147428571428571,0.1368249249249249,33.239498138427734
2015/12/10,0.0,0.0,0.0,0.0,0.1307718354430379,33.11600112915039
2015/12/11,0.0,0.0,0.0,0.3612,0.0892398663697104,32.00749969482422
2015/12/14,0.0,0.0,0.0,0.5423,0.137325,32.89550018310547
2015/12/15,0.0,0.0,0.0,0.1779,0.124814245014245,32.93199920654297
2015/12/16,0.0,0.0,0.0,0.0,0.0652397058823529,33.78850173950195
2015/12/17,0.0,0.0,0.0,0.3478571428571428,0.10845,33.532501220703125
2015/12/18,0.0,0.0,0.0,0.1779,0.1007821739130434,33.207000732421875
2015/12/21,0.0,0.0,0.0,0.5708500000000001,0.1177340298507462,33.22549819946289
2015/12/22,0.0,0.0,0.0,0.5994,0.1437516014234875,33.157501220703125
2015/12/23,0.0,0.0,0.0,-0.2263,0.1319491228070175,33.185001373291016
2015/12/24,0.0,0.0,0.0,0.0,0.1651701388888889,33.13949966430664
2015/12/28,0.0,0.0,0.0,0.4352571428571429,0.1933922101449275,33.7599983215332
2015/12/29,0.0,0.0,0.0,0.11313,0.1737686092715231,34.69850158691406
2015/12/30,0.0,0.0,0.0,0.3670142857142857,0.1479198529411765,34.45349884033203
2015/12/31,0.0,0.0,0.0,0.10115,0.1292196642685851,33.794498443603516
2016/01/04,0.0,0.0,0.0,0.1123578947368421,0.0990607669616519,31.84950065612793
2016/01/05,0.0,0.0,0.0,-0.0257333333333333,0.0936948374760994,31.68950080871582
2016/01/06,0.0,0.0,0.0,-0.1683875,0.0983642436149312,31.63249969482422
2016/01/07,0.0,0.0,0.0,0.26335,0.0737390625,30.39699935913086
2016/01/08,0.0,0.0,0.0,-0.016,0.0684361702127659,30.352500915527344
2016/01/11,0.0,0.0,0.0,0.3867,0.1319377192982456,30.886999130249023
2016/01/12,0.0,0.0,0.0,0.4684,0.114985269121813,30.894500732421875
2016/01/13,0.0,0.0,0.0,0.4766999999999999,0.0525814634146341,29.090499877929688
2016/01/14,0.0,0.0,0.0,0.1779,0.0906939670932358,29.649999618530273
2016/01/15,0.0,0.0,0.0,0.2993666666666666,0.1145770588235294,28.50900077819824
2016/01/19,0.0,0.0,0.0,0.0,0.1485745257452574,28.724000930786133
2016/01/20,0.0,0.0,0.0,0.0,0.0860514893617021,28.588499069213867
2016/01/21,0.0,0.0,0.0,0.0,0.1313212827988338,28.750999450683594
2016/01/22,0.0,0.0,0.0,0.0,0.1388682539682539,29.819000244140625
2016/01/25,0.0,0.0,0.0,0.0,0.1471939682539682,29.826499938964844
2016/01/26,0.0,0.0,0.0,0.0,0.0806984886649874,30.0625
2016/01/27,0.0,0.0,0.0,0.0,0.1340731651376147,29.167499542236328
2016/01/28,0.0,0.0,0.0,0.0,0.1112235940246045,31.767499923706055
2016/01/29,0.0,0.0,0.0,-0.2732,0.0864021796565389,29.350000381469727
2016/02/01,0.0,0.0,0.0,0.0,0.0726114035087719,28.74049949645996
2016/02/02,0.0,0.0,0.0,0.22815,0.1469867321867322,27.604999542236328
2016/02/03,0.0,0.0,0.0,0.2631285714285714,0.1222147540983606,26.55349922180176
2016/02/04,0.0,0.0,0.0,0.1282666666666667,0.0825632258064516,26.812999725341797
2016/02/05,0.0,0.0,0.0,-0.0092555555555555,0.0827470389170896,25.10650062561035
2016/02/08,0.0,0.0,0.0,0.72745,0.1066953804347826,24.405000686645508
2016/02/09,0.0,0.0,0.0,0.2562,0.1445318345323741,24.103500366210938
2016/02/10,0.0,0.0,0.0,0.1779,0.1356671028037383,24.52400016784668
2016/02/11,0.0,0.0,0.0,0.2023,0.1456281853281853,25.19099998474121
2016/02/12,0.0,0.0,0.0,0.20234,0.1888594674556213,25.354000091552734
2016/02/16,0.0,0.0,0.0,0.3273,0.1696244552058111,26.05500030517578
2016/02/17,0.0,0.0,0.0,0.0,0.1193477722772277,26.704999923706055
2016/02/18,0.0,0.0,0.0,0.1779,0.1418242957746479,26.25
2016/02/19,0.0,0.0,0.0,0.299,0.1349988151658767,26.7450008392334
2016/02/22,0.0,0.0,0.0,0.7506,0.218369825918762,27.975000381469727
2016/02/23,0.0,0.0,0.0,0.5423,0.1284968215158924,27.64699935913086
2016/02/24,0.0,0.0,0.0,-0.3818,0.1178560196560196,27.70199966430664
2016/02/25,0.0,0.0,0.0,0.09,0.1709766169154229,27.75749969482422
2016/02/26,0.0,0.0,0.0,0.4019,0.1196473837209302,27.761499404907227
2016/02/29,0.0,0.0,0.0,0.12178,0.1444109263657957,27.625999450683594
2016/03/01,0.0,0.0,0.0,0.0589333333333333,0.1196214477211796,28.95199966430664
2016/03/02,0.0,0.0,0.0,-0.0986666666666666,0.0885762345679012,29.010499954223633
2016/03/03,0.0,0.0,0.0,0.0,0.1492105263157894,28.874500274658203
2016/03/04,0.0,0.0,0.0,0.3856,0.1083649616368286,28.756999969482425
2016/03/07,0.0,0.0,0.0,0.0,0.0895274456521739,28.13999938964844
2016/03/08,0.0,0.0,0.0,0.48796,0.1018208333333333,28.01300048828125
2016/03/09,0.0,0.0,0.0,0.5563,0.1698775431861804,27.973499298095703
2016/03/10,0.0,0.0,0.0,0.174985,0.1295911980440098,27.94650077819824
2016/03/11,0.0,0.0,0.0,0.39515,-0.0570479889042995,28.480499267578125
2016/03/14,0.0,0.0,0.0,0.0258,0.1298809798270893,28.668500900268555
2016/03/15,0.0,0.0,0.0,-0.17,0.1431415094339622,28.85099983215332
2016/03/16,0.0,0.0,0.0,0.0,0.1216364672364672,28.713499069213867
2016/03/17,0.0,0.0,0.0,0.3058666666666667,0.1371276033057851,27.972000122070312
2016/03/18,0.0,0.0,0.0,0.0431666666666666,0.1522407407407407,27.604000091552734
2016/03/21,0.0,0.0,0.0,0.2436249999999999,0.0847831168831168,27.698999404907227
2016/03/22,0.0,0.0,0.0,0.1612666666666666,0.0918017582417582,28.02400016784668
2016/03/23,0.0,0.0,0.0,0.1779,0.1280147773279352,28.48150062561035
2016/03/24,0.0,0.0,0.0,0.1779,0.1602071942446043,29.147499084472656
2016/03/28,0.0,0.0,0.0,0.4391333333333334,0.1255236311239193,28.993499755859375
2016/03/29,0.0,0.0,0.0,0.142995652173913,0.1577458426966292,29.69300079345703
2016/03/30,0.0,0.0,0.0,0.4438,0.1165015837104072,29.934499740600582
2016/03/31,0.0,0.0,0.0,0.0,0.1455432489451476,29.68199920654297
